"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**";"Logo-Back-SolderedFULL-15mm";3;"Logo-Front-SolderedFULL-15mm";;;
2;"LED21,LED10,LED7,LED12,LED38,LED20,LED3,LED24,LED19,LED11,LED15,LED13,LED28,LED16,LED8,LED18,LED2,LED36,LED35,LED9,LED22,LED14,LED42,LED23,LED40,LED34,LED33,LED1,LED29,LED30,LED26,LED41,LED32,LED6,LED37,LED17,LED5,LED43,LED31,LED25,LED27,LED4,LED39";"WS2812B LED";43;"WS2812B";;;
3;"PAD20,PAD21,PAD10,PAD24,PAD19,PAD9,PAD22,PAD4,PAD23,PAD18,PAD13,PAD5,PAD2,PAD16,PAD14,PAD3,PAD12,PAD1,PAD7,PAD8,PAD17,PAD15,PAD11,PAD6";"PAD_2x1.5";24;"PAD_2x1.5";;;
4;"G***,G***,G***";"Logo-Back-OSH-3.5mm";3;"LOGO";;;
5;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"HOLE_0.8mm";48;"HOLE_0.8mm";;;
6;"FD2,FD1,FD3";"FIDUCIAL_23";3;"FIDUCIAL";;;
7;"C5,C26,C6,C12,C40,C19,C2,C9,C39,C14,C42,C17,C22,C24,C41,C36,C25,C16,C38,C8,C15,C4,C30,C13,C28,C33,C31,C3,C7,C11,C1,C29,C27,C18,C34,C20,C10,C43";"0603C";38;"0603C";;;
8;"R3,R2,R1";"0603R";3;"100";;;
9;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";30;"";;;
10;"G***";"Logo-Front-Soldered-3mm";1;"LOGO";;;
